title,review_value,n_user_reviews,reviewer_name,reviewer_country,date_of_review,review_text,aircraft,traveller_type,seat_type,route,date_flown,seat_comfort_rating,cabin_staff_service_rating,food_and_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommendation,clean_review_text,clean_title,review_luggage_seats,review_time_delays,review_food_bev_crew,title_money_value,title_staff_delays
"""friendly and professional""",8.0,2 reviews,R Schouwenberg,Netherlands,2015-12-22,"Germanwings flight from Berlin Tegel to Dusseldorf. Cabin crew were friendly and professional. Good late evening snack: a cheese or salami sandwich, chocolate bar and a small bottle of water. Too bad the there is no in-flight entertainment.",A319,Solo Leisure,Economy Class,TXL to DUS,2015-12-01,4.0,5.0,3.0,1.0,3.0,3.0,yes, berlin tegel dusseldorf cabin crew friendly professional good late evening snack cheese salami sandwich chocolate bar small bottle water bad entertainment, friendly professional,0.026370355859398842,0.026509836316108704,0.9471198320388794,0.23951056599617004,0.7604894042015076
"""little choice of airline""",5.0,,J Tydeman,United Kingdom,2015-12-07,"Not a bad price but little choice of airline as BA don't fly this route. Essentially Germanwings is the low cost wing of Lufthansa and it shows. Unruly boarding. No inflight catering at all - weak and tasteless tea for €2.50! On the other hand, flights reasonably punctual, though outbound was 20 mins late.",,Family Leisure,Economy Class,Heathrow to Cologne,2015-12-01,3.0,3.0,1.0,,3.0,3.0,yes, bad price little choice airline route low cost wing lufthansa show board cater weak tasteless tea hand punctual outbound min, little choice airline,0.03127968683838844,0.029629414901137352,0.9390909075737,0.18822833895683289,0.8117716312408447
"""were very satisfied""",10.0,18 reviews,H Oberbeckmann,Germany,2015-11-16,"We have been flying Dortmund to Munich return with Germanwings as a feeder flight for long haul with Lufthansa from Munich, and were very satisfied. The flights were on time, we got a snack and a seat with more legroom due to the Smart Fare booked and the staff was friendly. Online Check-In was easy and fast, so was bag drop.",A319,Couple Leisure,Economy Class,DTM to MUC,2015-11-01,5.0,5.0,5.0,,5.0,5.0,yes, e dortmund munich return feeder long haul lufthansa munich satisfied time get snack seat legroom smart fare book staff friendly online check easy fast bag drop, satisfied,0.9537481665611267,0.02142966538667679,0.0248221755027771,0.6779401898384094,0.3220598101615906
"""no info or staff""",2.0,,Y Wong,Japan,2015-11-03,Bad arrangements if outside the protocol. There were heavy fog in London and due to weather condition flight is cancelled. Reasonable but only one number that can never be connected is given to rebook Germanwings flights or claim hotel accommodation. It is fine that the Hotel/ flights needed to be rebooked but no instruction of how to claim those back. Flight booked again at the same time 7:15pm to Berlin and was delayed to 9:30pm. No info or staff until the monitor suddenly show the gate numbe at 8:40. Flight delayed so no public transport out of Tegel Airport for Berlin city center. No arrangement at all. Need to get a cab to hotel around 1am. So a lot of money like 500 pounds was paid for everything but no way to get it back. Only good thing is staff are nice.,,Business,Economy Class,London to Berlin,2015-11-01,1.0,2.0,2.0,,2.0,1.0,no, bad arrangement protocol heavy fog london weather condition cancel reasonable number connect give rebook claim hotel accommodation fine hotel need rebooke instruction claim booked time berlin delay info staff monitor gate numbe delay public transport tegel airport berlin city center arrangement need cab hotel lot money pound pay way good thing staff nice, info staff,0.012011234648525715,0.9768946766853333,0.011094100773334503,0.2383119761943817,0.7616879940032959
"""cabin crew were very friendly""",7.0,2 reviews,John Hamill,Ireland,2015-10-27,"Flew from Dublin to Rome via Cologne on Germanwings. Website booking is very efficient and due to my fare type, I was able to select seat 1D for both flights. Check in was smooth and all flights left on time. Again due to fare type, I was given a sandwich, coffee and bottled water on both flights and the cabin crew were very friendly and professional. Transfer in Cologne was extremely efficient with no need to reclear security and a small and compact airport. Baggage claim in Rome was a zoo, but I would blame Rome tourism in July for that. All in all, a very positive experience on Germanwings and connecting in Cologne would by no means turn me away from flying them again.",A319,Couple Leisure,Economy Class,Dublin to Rome via Cologne,2015-07-01,4.0,5.0,4.0,,4.0,4.0,yes, fly dublin rome cologne website booking efficient fare type able select seat check smooth leave time fare type give sandwich coffee bottled water cabin crew friendly professional transfer cologne efficient need reclear security small compact airport baggage claim rome zoo blame rome tourism positive experience connect cologne mean turn e, cabin crew friendly,0.015251568518579006,0.023419758304953575,0.9613286852836609,0.18964138627052307,0.8103586435317993
"""professional cabin crew""",9.0,,O Driver,Germany,2015-10-21,"Flying Germanwings ""Best"" section on domestic flights is the best product for a short haul domestic flight within Germany. Full catering and drinks service. Addtional 10cm seat pitch in rows 1-3, free middle seat etc. Free Lufthansa Lounge access. Flight was on time with a very friendly and professional cabin crew. The only downside is the A320 fleet is relatively old but obviously in good shape).",A320,Business,Business Class,TXL to DUS,2015-10-01,5.0,4.0,5.0,,4.0,4.0,yes, e good section domestic good product short haul domestic germany catering drink service addtional seat pitch row free middle seat free lufthansa lounge access time friendly professional cabin crew downside fleet old good shape, professional cabin crew,0.6216633915901184,0.01805247738957405,0.36028411984443665,0.18911634385585785,0.810883641242981
"""friendly cabin staff""",8.0,2 reviews,Dan Allen,United Kingdom,2015-10-21,"Hannover to Rome. At the airport we had a very smooth transition to the gate (took 20 minutes). Then we left, everything was on time and actually arrived 20 minutes early. Inflight cabin staff served small sandwiches and water. Even though this was only a 2 hour flight the cabin staff came several times to give out beverages. I enjoy Germanwings clean cabin and low prices. As a budget airline I was not expecting a lot, but friendly cabin staff interacted with kids and gave a relaxed flight. ",A320,Family Leisure,Economy Class,Hannover to Rome,2015-03-01,4.0,5.0,2.0,,3.0,4.0,yes, hannover rome airport smooth transition gate take minute leave time arrive minute cabin staff serve small sandwich water hour cabin staff come time beverage enjoy clean cabin low price budget airline expect lot friendly cabin staff interact kid give relaxed, friendly cabin staff,0.016974519938230515,0.6974509954452515,0.2855744957923889,0.1896977722644806,0.8103022575378418
"""they have been unresponsive""",2.0,,Brian McNamee,Canada,2015-10-16,"We flew with Germanwings (or tried to) on September 30th. After two lengthy delays passengers were notified that the flight was cancelled and to return to the check-in counter for further information. After waiting at the counter for another 30 minutes or so, staff began issuing refunds or providing alternate travel options to passengers. By this point it was quite late in the evening with limited options (plus we were 5+ hours after planned departure). We managed to get a voucher with 3 other passenger to get a flight from Stuttgart to Zurich with an ongoing connection to Amsterdam (flights were with Swiss). We made the flight and the connector (which was held back waiting for about 70 of us) however luggage did not make it. Short of this is the airline was ill-prepared to manage this. They offered little information or options to passengers. since returning home I have been attempting to contact them via email and phone calls to discuss compensation per passenger rights brochure and they have been unresponsive. Not a good way to run a business.",,Couple Leisure,Economy Class,Stuttgart to Amsterdam,2015-09-01,1.0,1.0,,,1.0,2.0,no, fly try september lengthy delay passenger notify cancel return check counter information wait counter minute staff begin issue refund provide alternate travel option passenger point late evening limited option hour plan departure manage voucher passenger stuttgart zurich ongoing connection amsterdam swiss connector hold wait luggage short airline prepared manage offer little information option passenger return home attempt contact email phone call discuss compensation passenger right brochure unresponsive good way run business, unresponsive,0.010511474683880806,0.9791869521141052,0.0103016197681427,0.6776432991027832,0.3223567605018616
"""impressed with Germanwings""",9.0,6 reviews,Joseph Goodrich,United States,2015-10-15,"Very impressed with Germanwings. The flight was punctual, crew was professional and polite. I traveled Smart economy. Boarding was quick and efficient. The aircraft was clean, the Lavs were spotless. There was good legroom and we were given a choice of beverages and substantial snack.  The arrival was ontime, and luggage was delivered promptly.",A319,Solo Leisure,Economy Class,KRK to STR,2015-07-01,4.0,4.0,4.0,,4.0,5.0,yes, impressed punctual crew professional polite travel smart economy boarding quick efficient aircraft clean lavs spotless good legroom give choice beverage substantial snack arrival ontime luggage deliver, impress,0.022541431710124016,0.02109060250222683,0.9563679695129395,0.6783384084701538,0.32166165113449097
"""I was refused some water""",3.0,,L Mouratidou,United Kingdom,2015-10-04,"I am less than impressed with Germanwings service to say the least. On my first connection to Hamburg the stewardess has told us that we could have some water for free, while everything has to be charged. During my second connection from Hamburg to London I was refused some water, despite being pregnant and not feeling well. I find this disgusting, the fact that a passenger will not be offered water if they're unwell, and will not be looked after in any way. Needless to say the stewards would only be nice to the passengers who have also booked their on board meals or bought on board drinks.",,Solo Leisure,Economy Class,Hamburg to London,2015-09-01,2.0,1.0,,,3.0,2.0,no, impressed service connection hamburg stewardess tell water free charge second connection hamburg london refuse water pregnant feel find disgust fact passenger offer water unwell look way needless steward nice passenger book board meal buy board drink, refuse water,0.01674853265285492,0.8964429497718811,0.08680851757526398,0.7630295157432556,0.23697052896022797
"""the service crew were friendly but nothing more""",3.0,4 reviews,H Mutschler,Germany,2015-09-21,"Flew from Palma de Mallorca to Cologne with Germanwings. Check-in was done in less than 15 minutes, we got seats in row 6 which were fine. Planes were late as always due to incoming plane being late, that is a general problem with Germanwings when you fly later in the day. There was no entertainment whatsoever and the service crew were friendly but nothing more. They charge you EUR 2,50 for 250ml a soft drink like Coke or Sprite, so we paid EUR 5 for two cans, that make EUR 10 for a litre. Nothing else was offered, so nothing special. No miles were credited, even as a miles and more member.",A319-100,Couple Leisure,Economy Class,PMI to CGN,2015-09-01,3.0,1.0,1.0,1.0,2.0,1.0,no, fly palma cologne check minute get seat row fine plane late incoming plane general problem day entertainment service crew friendly charge eur soft drink coke sprite pay eur can eur litre offer special mile credit mile member, service crew friendly,0.02919972501695156,0.13117268681526184,0.8396276235580444,0.18927256762981415,0.8107274770736694
"""no problems or delays, very friendly staff""",10.0,,Oliver Numrich,Germany,2015-09-20,"Good flight from Berlin-Tegel to London Heathrow, no problems or delays, very friendly staff. Delay on our flight back to Berlin wasn't on behaf of Germanwings. I always choose Germanwings because of that bigger legroom on the ""Smart Fare"".",,Business,,Berlin-Tegel to London Heathrow,2015-08-01,4.0,5.0,4.0,1.0,5.0,4.0,yes, good berlin tegel london heathrow problem delay friendly staff delay berlin wasn behaf choose big legroom smart fare, problem delay friendly staff,0.7737365365028381,0.05646590143442154,0.16979753971099854,0.15635491907596588,0.8436450958251953
"""I don't get why Germanwings is always late""",4.0,1 reviews,Andreas Huettenhoelscher,Germany,2015-09-14,I don't get why Germanwings is always late and on top offers such bad service. How is it possible that the ground staff makes an anouncement about late departure due to late arrival of an airplane 5 minutes before the official boarding time? Wherever the plane came from it should be possible that the pilot contacts the ground staff at the point of destination the minute they leave with delay and from that time onwards it should be possible to calculate very clearly when the plane should arrive. ,,Business,Economy Class,CGN to LHR,2015-09-01,3.0,4.0,2.0,,1.0,3.0,no, don late offer bad service possible ground staff make anouncement late departure late arrival airplane minute official board time plane come possible pilot contact ground staff point destination minute leave delay time possible calculate plane arrive, don late,0.9491369128227234,0.03090101107954979,0.019962050020694733,0.7630898356437683,0.2369101643562317
"""vowing never to book Germanwings again""",1.0,,L Turner,United Kingdom,2015-09-09,"We were delayed 5 hours in Istanbul and received a sandwich on the plane as compensation. Told by the cabin crew that many planes were delayed due to technical problems that day so we would definitely catch our transit flight to London. Arrived Dusseldorf, no information given, transit closed. Eventually told to go to Lufthansa ticket desk where we joined a long queue for about 2 hours. Eventually told ""no flights tonight, maybe one on Monday"" (2days later). Lufthansa and Germanwings staff didn't seem to know who was doing what. Came back to ticket desk at 5am next morning and given overbooked standby ticket for 4 hours later. We made a fuss and insisted on getting a seat (otherwise we would have taken the train). We were given a seat but suspect that others were ""bumped down"" by Germanwings who were prioritising based on who made the biggest noise. Bad karma probably meant our flight took off but had to turn back to Dusseldorf due to more technical problems so we went round the same circle again - delay, no communication. This time we ran across the airport to the now familiar ticket desk where we were given tickets to London via Munich. Arrived home 39 hours after we left Istanbul, vowing never to book Germanwings again. Flight out with Turkish Airlines was a dream, should have booked return trip.  Had to pay extra for Germanwings luggage which wasn't clear through Opodo the booking agent. ",,Couple Leisure,Economy Class,Istanbul to London via DUS,2015-09-01,2.0,2.0,1.0,,1.0,1.0,no, delay hour istanbul receive sandwich plane compensation tell cabin crew plane delay technical problem day catch transit london arrive dusseldorf information give transit close tell lufthansa ticket desk join long queue hour tell tonight monday day lufthansa staff didn know come ticket desk morning give overbooked standby ticket hour fuss insist get seat take train give seat suspect bump prioritise base big noise bad karma mean take turn dusseldorf technical problem go circle delay communication time run airport familiar ticket desk give ticket london munich arrive home hour leave istanbul vow book turkish airline dream book return trip pay extra luggage wasn opodo booking agent, vow book,0.2191648930311203,0.7744940519332886,0.0,0.23742718994617462,0.7625728249549866
"""staff friendly - food terrible""",7.0,,Jay  Martin,Germany,2015-09-09,"Easy Check-In at Düsseldorf. The Germanwings flight was on  time. Seats good for a low-cost airline. The food was terrible and expensive. The normal Ticket price excludes luggage, and for including luggage check-in you have to pay extra money. Staff were friendly.",,Solo Leisure,Economy Class,Düsseldorf to London,2015-08-01,3.0,3.0,1.0,1.0,4.0,4.0,yes, easy check düsseldorf time seat good low cost airline food terrible expensive normal ticket price exclude luggage include luggage check pay extra money staff friendly, staff friendly food terrible,0.4422827959060669,0.02369830571115017,0.534018874168396,0.15632590651512146,0.8436741232872009
"""no explanations, no offers of help""",2.0,,Jacky Russell,United Kingdom,2015-09-06,"Checked in at Dusseldorf for our Germanwings flight, and check in person asked whether we were a cancellation from yesterday. We said no, thinking it an odd question. Twenty minutes into the flight an apparent technical fault meant we had to turn back. Landed, but no bus to take us to the terminal for a good twenty minutes. Informed once inside that the flight was cancelled. Told to collect baggage and go to Lufthansa desk in departures. The queue there was enormous, approximately 60 people in front of us, and thirty behind. Waited for 3.5 hours in this queue. No explanations, no offers of help, no refreshments - nothing. Got to front and options left were either take a taxi to Cologne and flight to Stansted the same evening, or stay over till the next day. We are sitting in Cologne departures. The Manchester flight has a one hour delay and the Hamburg flight is cancelled. If we get out of here tonight it will be a miracle. Partner has already driven three hours to Heathrow, and now has a 300 mile round trip to collect us from Stansted. ",,Family Leisure,Economy Class,Dusseldorf to Heathrow,2015-09-01,2.0,2.0,1.0,1.0,1.0,1.0,no, check dusseldorf check person ask cancellation yesterday say think odd question minute apparent technical fault mean turn land bus terminal good minute inform cancel tell collect baggage lufthansa desk departure queue enormous people wait hour queue explanation offer help refreshment get option leave taxi cologne stanste evening stay day sit cologne departure manchest hour delay hamburg cancel tonight miracle partner drive hour heathrow mile round trip collect stanste, explanation offer help,0.0,0.9817402958869934,0.0,0.18756930530071259,0.8124306797981262
"""delay in Heathrow about 1:30 minutes""",2.0,,Ralf-Peter Weber,Gibraltar,2015-08-31,"This Germanwings flight should take off as scheduled, but plane wasn't ready. We had to stay in the Transfer bus for 45 minutes (without Air conditioning) in Düsseldorf. Then the bus drove back to the plane and the bus driver was so kind to open the doors and we waited another 25 minutes before we could enter the plane. Overall delay in Heathrow about 1:30 minutes as the plane also missed it's Slot. The gate in Heathrow was closed so we couldn't enter the terminal building.",A320,Business,Economy Class,Duesseldorf to Heathrow,2015-07-01,3.0,1.0,1.0,,1.0,2.0,no, schedule plane wasn ready stay transfer bus minute air conditioning düsseldorf bus drive plane bus driver kind open door wait minute enter plane overall delay heathrow minute plane miss slot gate heathrow close couldn enter terminal building, delay heathrow minute,0.019162127748131752,0.9658339023590088,0.015003932639956474,0.1876109093427658,0.812389075756073
Germanwings customer review,5.0,4 reviews,Andrew Jerome,Australia,2015-08-25,"Germanwings is a very mediocre airline. Compared to Lufthansa, their standards are quite low. They are not terrible or anything, but their food product is the worst.",,Couple Leisure,Economy Class,Cologne to Palma,2015-08-01,3.0,3.0,1.0,,3.0,5.0,no, mediocre airline compare lufthansa standard low terrible food product bad, customer,0.3036196827888489,0.28222155570983887,0.41415876150131226,0.5965282917022705,0.4034717082977295
Germanwings customer review,2.0,,Nigel Goodman,Germany,2015-08-15,"I am Senator on Lufthansa so I fly a lot. Flying Germanwings Smart fare (Euro 18 for a sandwich),  first drink is free but I was asked to pay Euro 2.50 for the second drink (water). When I said I fly every week on this GermanWings and its always free I was told by Purser that now they have to charge due to a management crack down. Germanwings is not a cheap airline on prices but is a very poor spin off from Lufthansa. And they don't value passengers who fly a lot. ",,Business,Economy Class,Hamburg to Paris,2015-08-01,3.0,2.0,1.0,,2.0,2.0,no, senator lot e smart fare euro sandwich drink free ask pay euro second drink water say week free tell purser charge management crack cheap airline price poor spin lufthansa don value passenger lot, customer,0.4312525689601898,0.202064648270607,0.3666827976703644,0.5964741110801697,0.4035259187221527
Germanwings customer review,10.0,1 reviews,Nigel Tansley,United Kingdom,2015-07-30,"Flight on time, booked smart fare which gave Extra Legroom seat, snack/drink and 23kg of hold luggage for a very good price. Cabin very clean, comfortable seat with plenty of legroom (I am 6'4"" tall). Very efficient and pleasant cabin crew.",A320,Family Leisure,Economy Class,Stansted to Cologne,2015-07-01,5.0,5.0,4.0,,5.0,5.0,yes, time book smart fare give extra legroom seat snack drink hold luggage good price cabin clean comfortable seat plenty legroom tall efficient pleasant cabin crew, customer,0.02855803817510605,0.022658895701169968,0.9487830996513367,0.5964301824569702,0.4035698473453522
Germanwings customer review,1.0,,R Schulze,Germany,2015-07-02,"The flight was delayed by 6 hours, allegedly because of a radar system failure at Rome Fiumicino airport. Strangely, only the Germanwings flight to Berlin was affected, Air Berlin left on time. Delays can happen, but the complete lack of information and assistance was not acceptable. No ground staff was available, phone calls to Germanwings were not answered. No meal voucher was offered. To add insult to injury, access to Star Alliance lounges is denied to Gold members outside Germany when you travel with Germanwings because they are a Lufthansa subsidiary but not a member of Star Alliance. The flight itself was smooth, but no inflight entertainment whatsoever. For the same price, Air Berlin offers much better value. Will not travel Germanwings again.",A319,Business,First Class,FCO to TXL,2015-05-01,2.0,2.0,1.0,1.0,1.0,1.0,no, delay hour radar system failure rome fiumicino airport berlin affect air berlin leave time delay happen complete lack information assistance acceptable ground staff available phone call answer meal voucher offer add insult injury access star alliance lounge deny gold member germany travel lufthansa subsidiary member star alliance smooth entertainment price air berlin offer well value travel, customer,0.014064447954297066,0.9748451113700867,0.011090429499745369,0.5964680910110474,0.4035319685935974
Germanwings customer review,2.0,,H Skopek,United States,2015-06-19,"My wife and I were checking in our luggage  for our flight from Hamburg to Geneva when a person who identified himself as the “enforcer” (his term) approached us and informed me that I had to also check in my carry-on. This was a surprise since  it was below Germanwings allowable size.  The enforcer instructed the ticket agent to weigh my carry-on. Unfortunately, it did exceed the 8kg weight limit. My only option was to remove excess weight, which I did. I removed clothing and gifts until I reached the 8 kg limit and placed them in the garbage pail provided by the ticket agent. I believe in following rules, but they need to be clearly indicated and consistently applied. This experience was in itself unpleasant. We checked in an extra piece of luggage and had to go to another agent to pay a 75 euro surcharge. However, we were informed that the surcharge would be 150 Euros for 2 pieces of luggage. The 2 agents communicated by phone and eventually discovered that we had erroneously been charged for an extra suitcase. ",,Couple Leisure,Economy Class,Hamburg to Geneva,2015-06-01,1.0,1.0,,,1.0,1.0,no, wife check luggage hamburg geneva person identify enforcer term approach inform check carry surprise allowable size enforcer instruct ticket agent weigh carry exceed weight limit option remove excess weight remove clothing gift reach limit place garbage pail provide ticket agent believe follow rule need indicate apply experience unpleasant check extra piece luggage agent pay euro surcharge inform surcharge euro piece luggage agent communicate phone discover charge extra suitcase, customer,0.983094334602356,0.0,0.0,0.5965355634689331,0.4034644365310669
Germanwings customer review,7.0,,B Diener,Czech Republic,2015-05-31,4U7779 and 4U7778 May16 and May 26 PRG-HAM-PRG economy class. A decent low cost option for short flights within Europe. If you want to get from A to B in a cost efficient manner it's an alternative. Flights would've left on time if it wouldn't have taken the flight attendants almost 10 minutes to get a passenger to finally stop talking on his cell phone thus delaying the safety instructions. The in-flight magazine is the worst I've ever seen. It's full of advertisements. Although I didn't order anything the prices for beverages and snacks seem to be the same as on other low cost carriers.,,,Economy Class,,,3.0,2.0,0.0,1.0,,5.0,yes, ham economy class decent low cost option short europe want cost efficient manner alternative leave time wouldn take attendant minute passenger stop talk cell phone delay safety instruction magazine bad see advertisement didn order price beverage snack low cost carrier, customer,0.5364775061607361,0.26830053329467773,0.195221945643425,0.5964332818984985,0.40356674790382385
Germanwings customer review,7.0,,Eelco van den Heuvel,Netherlands,2015-05-28,DUS-GVA-DUS. Operated by Eurowings on CRJ 900. Comfortable small plane because of the 2-2 seating. 45 mins delay on outbound flight 30 mins on inbound hence the 7 for trip satisfaction. Mostly friendly crew and good catering for short flight. Booked smart class so got a sandwich chocolate bar water and a drink. Paid 196 euro for 2 including seat reservation catering and two bags for a return flight which is a bargain.,,,Economy Class,,,4.0,4.0,4.0,1.0,,4.0,yes, dus operate eurowing crj comfortable small plane seating min delay outbound min inbound trip satisfaction friendly crew good catering short book smart class get sandwich chocolate bar water drink pay euro include seat reservation catering bag return bargain, customer,0.022469941526651382,0.016702672466635704,0.9608274102210999,0.5964095592498779,0.4035904109477997
